,Title,Genre,DomesticBox_Office,Month,Year
532,Emma.,Drama,10055355,2,2020
533,Marshall,Drama,10051659,10,2017
534,Bloodshot,Action,10021787,3,2020
535,The Lady in the Van,Drama,10021175,1,2016
536,The Perfect Match,Romantic Comedy,9669521,3,2016
537,Hotel Mumbai,Thriller/Suspense,9619500,3,2019
538,The Wife,Drama,9599982,8,2018
539,Midnight Sun,Drama,9561064,3,2018
540,Popstar: Never Stop Never Stopping,Comedy,9496130,6,2016
541,Thank You for Your Service,Drama,9479390,10,2017
542,Rock Dog,Adventure,9420546,2,2017
543,Tully,Comedy,9369755,5,2018
544,Motherless Brooklyn,Drama,9277736,11,2019
545,No Manches Frida 2,Comedy,9270920,3,2019
546,Hardcore Henry,Action,9252038,4,2016
547,Whereâd You Go Bernadette,Comedy,9198356,8,2019
548,The Lobster,Romantic Comedy,9196278,3,2016
549,Traffik,Thriller/Suspense,9186156,4,2018
550,Meet the Blacks,Comedy,9097072,4,2016
551,Apollo 11,Documentary,9040224,3,2019
552,Queen of Katwe,Drama,8874389,9,2016
553,Unfriended: Dark Web,Horror,8866745,7,2018
554,Ratchet and Clank,Adventure,8813410,4,2016
